date;temp
17.06.2022;13.6
18.06.2022;10.9
19.06.2022;13.3
20.06.2022;13.7
21.06.2022;11.6
22.06.2022;11.5
23.06.2022;14.6
24.06.2022;21.4
25.06.2022;20.2
26.06.2022;17.1
27.06.2022;16.5
28.06.2022;16
29.06.2022;17.8
30.06.2022;19.9
01.07.2022;20.4
02.07.2022;15.4
03.07.2022;14.2
04.07.2022;12.9
05.07.2022;12.5
06.07.2022;12.3
07.07.2022;12.7
08.07.2022;12.5
09.07.2022;11.4
10.07.2022;12.8
11.07.2022;17
12.07.2022;15.8
13.07.2022;12.6
14.07.2022;11.9
15.07.2022;11.6
16.07.2022;12.1
17.07.2022;12.6
18.07.2022;15.2
19.07.2022;20.5
20.07.2022;19.9
21.07.2022;14.7
22.07.2022;16.1
23.07.2022;14.3
24.07.2022;14.6
25.07.2022;14.5
26.07.2022;11.1
27.07.2022;11.8
28.07.2022;14.1
29.07.2022;14.3
30.07.2022;15.4
31.07.2022;14.2
01.08.2022;13.5
02.08.2022;14.9
03.08.2022;16.1
04.08.2022;12.9
05.08.2022;12.2
06.08.2022;11.8
07.08.2022;12.7
08.08.2022;14.5
09.08.2022;15.2
10.08.2022;17.7
11.08.2022;17.2
12.08.2022;15.9
13.08.2022;16.6
14.08.2022;19.3
15.08.2022;20
16.08.2022;17.6
17.08.2022;13.9
18.08.2022;14.1
19.08.2022;16.1
20.08.2022;15.5
21.08.2022;14.6
22.08.2022;14.4
23.08.2022;18
24.08.2022;21
25.08.2022;18.4
26.08.2022;15.5
27.08.2022;13.5
28.08.2022;14
29.08.2022;14.8
30.08.2022;15.4
31.08.2022;16.1
01.09.2022;14
02.09.2022;14.8
03.09.2022;15.1
04.09.2022;16.1
05.09.2022;17.4
06.09.2022;16.4
07.09.2022;15.4
08.09.2022;15.4
09.09.2022;14.5
10.09.2022;13.5
11.09.2022;12.9
12.09.2022;14.1
13.09.2022;12.7
14.09.2022;11.3
15.09.2022;10.6
16.09.2022;12
17.09.2022;10.6
18.09.2022;11.3
19.09.2022;10.7
20.09.2022;9.4
21.09.2022;12.2
22.09.2022;13.9
23.09.2022;12
24.09.2022;10.7
25.09.2022;8.8
26.09.2022;9.9
27.09.2022;10.5
28.09.2022;15.1
29.09.2022;12
30.09.2022;12.7
01.10.2022;12.5
02.10.2022;10.6
03.10.2022;11.3
04.10.2022;12.4
05.10.2022;10.7
06.10.2022;11
07.10.2022;11.8
08.10.2022;8.3
09.10.2022;11.5
10.10.2022;9.7
11.10.2022;7.4
12.10.2022;10
13.10.2022;9.4
14.10.2022;9
15.10.2022;8.4
16.10.2022;8.9
17.10.2022;9.7
18.10.2022;8.6
19.10.2022;4.6
20.10.2022;3.9
21.10.2022;5.8
22.10.2022;8.1
23.10.2022;9.5
24.10.2022;9.1
25.10.2022;10.4
26.10.2022;11.9
27.10.2022;12.9
28.10.2022;13.2
29.10.2022;11.4
30.10.2022;11.6
31.10.2022;12.3
01.11.2022;13.4
02.11.2022;9.7
03.11.2022;10.4
04.11.2022;7.7
05.11.2022;7.9
06.11.2022;8.4
07.11.2022;7.6
08.11.2022;11.3
09.11.2022;9.9
10.11.2022;11.2
11.11.2022;12.8
12.11.2022;10.7
13.11.2022;11
14.11.2022;7.8
15.11.2022;8.5
16.11.2022;10.3
17.11.2022;6.4
18.11.2022;1.9
19.11.2022;-1.1
20.11.2022;-1.8
21.11.2022;0.2
22.11.2022;3.4
23.11.2022;6.8
24.11.2022;9.4
25.11.2022;10.2
26.11.2022;9.4
27.11.2022;10.5
28.11.2022;8.9
29.11.2022;7.1
30.11.2022;4.6
01.12.2022;4
02.12.2022;-0.2
03.12.2022;-1.7
04.12.2022;-1.4
05.12.2022;1.3
06.12.2022;1
07.12.2022;-3.8
08.12.2022;-1.5
09.12.2022;-1.4
10.12.2022;-4.3
11.12.2022;-1.9
12.12.2022;-3.6
13.12.2022;-4.2
14.12.2022;-5
15.12.2022;-5.6
16.12.2022;-1.1
17.12.2022;2.1
18.12.2022;2.6
19.12.2022;6.7
20.12.2022;7.3
21.12.2022;4.8
22.12.2022;3
23.12.2022;-1.3
24.12.2022;-4
25.12.2022;5.8
26.12.2022;4.2
27.12.2022;1.2
28.12.2022;2.5
29.12.2022;6
30.12.2022;5
31.12.2022;3.7
01.01.2023;-2.3
02.01.2023;-2.6
03.01.2023;1.7
04.01.2023;4.7
05.01.2023;1.7
06.01.2023;4.7
07.01.2023;7.8
08.01.2023;7.1
09.01.2023;6.2
10.01.2023;6.3
11.01.2023;6.9
12.01.2023;5.3
13.01.2023;2.9
14.01.2023;1.5
15.01.2023;2.4
16.01.2023;1
17.01.2023;1
18.01.2023;0.4
19.01.2023;-1.5
20.01.2023;-4.1
21.01.2023;0
22.01.2023;2.8
23.01.2023;2.6
24.01.2023;6.8
25.01.2023;7.1
26.01.2023;3
27.01.2023;1.6
28.01.2023;4.8
29.01.2023;6.3
30.01.2023;3.1
31.01.2023;2.6
01.02.2023;3.3
02.02.2023;0.6
03.02.2023;2.6
04.02.2023;2.6
05.02.2023;4.2
06.02.2023;6
07.02.2023;6.2
08.02.2023;7.2
09.02.2023;3.4
10.02.2023;4.1
11.02.2023;7.8
12.02.2023;7.8
13.02.2023;7.1
14.02.2023;6
15.02.2023;7.6
16.02.2023;6
17.02.2023;5.1
18.02.2023;1.8
19.02.2023;2.6
20.02.2023;6.9
21.02.2023;5.9
22.02.2023;5.3
23.02.2023;2.3
24.02.2023;2.9
25.02.2023;2.1
26.02.2023;2.4
27.02.2023;3.1
28.02.2023;4
